theta1,theta2,theta3,L1,L2,L3,roll,pitch,yaw
55,128,81,13.475976088430102,17.989675347273536,15.831856715715055,0.99,12.78,4.56
105,29,37,16.78539816339745,8.457501307691139,10.271924406583437,-4.84,-2.79,4.76
97,86,57,16.366519142918808,15.966772466552335,13.754202220468997,-0.48,3.76,4.93
177,82,154,20.5553093477052,15.86713135486815,19.351032163829114,-10.48,1.80,5.06
106,157,129,16.83775804095728,19.5081117965086,18.042035224833366,-3.24,6.76,5.20
180,41,66,20.712388980384688,11.09080298304032,14.808160965265309,-8.63,-6.37,4.43
52,133,60,13.028993171212555,18.251474735072684,14.14167955265112,2.92,8.11,4.74
90,16,132,16.0,5.0279006281868845,18.199114857512857,-20.05,1.93,5.07
6,114,185,2.0096658716147076,17.256637061435917,20.97418836818384,-3.32,25.38,5.74
47,27,35,12.205766788797881,7.9679225600762535,9.840195070521261,-3.96,4.24,4.87
58,183,110,13.887353348741506,20.86946861306418,17.047197551196597,-13.83,7.54,5.39
142,174,4,18.722713633111155,20.39822971502571,1.368734320216035,24.78,-7.83,6.78
71,72,5,15.251984879808546,15.328489528448422,1.69070672919662,16.09,-8.39,6.83
80,71,179,15.79244135387939,15.251984879808546,20.66002910282486,-12.55,9.57,6.21
117,81,80,17.413716694115408,15.831856715715055,15.79244135387939,-3.79,2.81,5.18
191,175,0,21.28834763354282,20.45058959258554,0.05124837953326988,26.50,-7.41,6.86
46,32,68,12.029498336824524,9.165121159920353,14.997923866109716,-9.02,5.70,5.65
58,26,178,13.887353348741506,7.717841561694776,20.607669225265028,-20.74,8.96,6.37
66,68,54,14.808160965265309,14.997923866109716,13.330922899968243,-1.92,5.30,5.20
103,63,122,16.68067840827779,14.493081667469404,17.675516081914555,-8.27,6.13,5.53
111,93,48,17.099557428756427,16.15707963267949,12.378178619099486,1.14,2.34,5.15
157,31,119,19.5081117965086,8.932839602563512,17.518436449235068,-14.81,-1.92,4.89
112,92,32,17.151917306316257,16.10471975511966,9.165121159920353,5.15,-3.12,5.48
20,23,38,6.144548009571466,6.946672270512806,10.482241390103653,-4.81,7.78,5.14
9,52,122,2.9482025545832684,13.028993171212555,17.675516081914555,-7.76,22.90,6.49
128,176,152,17.989675347273536,20.50294947014537,19.246312408709453,-1.16,12.41,5.37
117,23,2,17.413716694115408,6.946672270512806,0.7158563429488609,6.32,-12.85,7.04
104,136,150,16.73303828583762,18.408554367752174,19.141592653589793,-4.69,10.69,5.84
35,25,128,9.840195070521261,7.4642593033726214,17.989675347273536,-15.64,10.69,6.31
164,26,165,19.874630939427412,7.717841561694776,19.926990816987242,-21.21,-0.63,4.43
175,4,164,20.45058959258554,1.368734320216035,19.874630939427412,-29.54,-5.65,2.63
73,58,24,15.400892767899983,13.887353348741506,7.207196026308502,5.54,-3.92,5.54
